id_ext,casa,data,sequencia,texto_tramitacao,sigla_local,id_situacao,descricao_situacao,link_inteiro_teor,fase,situacao_descricao_situacao,evento,data_audiencia,local,global,tipo_documento,nivel,titulo_evento,status
16526,camara,1999-11-09T00:00:00Z,52,Apense-se a este o PL 1715/1999.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-02-16T00:00:00Z,53,Apense-se a este o PL 2413/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-03-19T00:00:00Z,54,Apense-se a este o PL 2525/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-03-31T00:00:00Z,55,Apense-se a este o PL 2622/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-05-10T00:00:00Z,56,Apense-se a este o PL 2890/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-06-16T00:00:00Z,57,Apense-se a este o PL 3219/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-06-16T00:00:00Z,58,Apense-se a este o PL 3232/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-11-10T00:00:00Z,59,Apense-se a este o PL 3740/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-11-13T00:00:00Z,60,Apense-se a este o PL 3734/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-11-29T00:00:00Z,61,Apense-se a este o PL 3806/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-11-30T00:00:00Z,62,"DEVOLVIDO PELO RELATOR, DEP PEDRO HENRY, SEM PARECER.AGUARDANDO REDISTRIBUIÇÃO.",CTASP,507,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2000-12-15T00:00:00Z,63,"REDISTRIBUIDO AO RELATOR, DEP DINO FERNANDES.",CTASP,320,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-03-09T00:00:00Z,64,Apense-se a esta o PL-3787/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-03-09T00:00:00Z,65,Apense-se a esta o PL-3790/2000.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-03-09T00:00:00Z,66,Apense-se a esta o PL-4001/2001.,MESA,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-08-17T00:00:00Z,67,Recebida manifestação do Relator.,CTASP,501,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=4646,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-08-17T00:00:00Z,68,Devolução ao Relator,CTASP,170,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-08-17T00:00:00Z,69,Recebida manifestação do Relator.,CTASP,501,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=5141,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-09-04T00:00:00Z,70,Devolução ao Relator,CTASP,170,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-09-06T00:00:00Z,71,Recebida manifestação do Relator.,CTASP,501,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=5729,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-09-06T00:00:00Z,72,Devolução ao Relator,CTASP,170,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-09-12T00:00:00Z,73,Recebida manifestação do Relator.,CTASP,501,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=5944,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-09-12T00:00:00Z,74,Devolução ao Relator,CTASP,170,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-09-13T00:00:00Z,75,Apensação do PL-4001/2001 a esta,CTASP,504,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-09-21T00:00:00Z,76,Recebida manifestação do Relator.,CTASP,501,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=6773,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-09-21T11:09:00Z,77,"Parecer do Relator, Dep. Dino Fernandes, pela rejeição deste, das emendas de nºs 1/96, 1/99, 2/99, 3/99, 4/99 e 5/99, do PL-6/1995, do PL-220/1995, do PL-227/1995, do PL-246/1995, do PL-418/1995, do PL-662/1995, do PL-737/1995, do PL-850/1995, do PL-920/1995, do PL-1111/1995, do PL-1149/1999, do PL-1150/1999, do PL-1252/1995, do PL-1253/1995, do PL-1365/1995, do PL-1404/1996, do PL-1413/1996, do PL-1414/1996, do PL-1454/1996, do PL-1468/1999, do PL-1490/1996, do PL-1491/1996, do PL-1492/1996, do PL-1493/1996, do PL-1494/1996, do PL-1495/1996, do PL-1496/1996, do PL-1497/1996, do PL-1498/1996, do PL-1499/1996, do PL-1500/1996, do PL-1501/1996, do PL-1525/1999, do PL-1705/1996, do PL-1715/1999, do PL-1901/1996, do PL-1986/1999, do PL-2022/1996, do PL-2023/1996, do PL-2233/1996, do PL-2234/1996, do PL-2235/1996, do PL-2236/1996, do PL-2237/1996, do PL-2238/1996, do PL-2413/2000, do PL-2518/1996, do PL-2519/1996, do PL-2525/2000, do PL-2548/1996, do PL-2605/1996, do PL-2622/2000, do PL-2890/2000, do PL-3040/1997, do PL-3117/1997, do PL-3219/2000, do PL-3232/2000, do PL-3302/1997, do PL-3398/1997, do PL-3603/1997, do PL-3734/2000, do PL-3735/1997, do PL-3740/2000, do PL-3787/2000, do PL-3790/2000, do PL-3806/2000, do PL-3841/1997, do PL-4161/1993, do PL-4388/1994, e do PL-4001/2001, apensados.",CTASP,322,NA,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=6773,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-09-22T00:00:00Z,78,Devolução ao Relator,CTASP,170,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
16526,camara,2001-10-01T00:00:00Z,79,Recebida manifestação do Relator.,CTASP,501,NA,NA,NA,NA,NA,NA,CD-MESA-PLEN,NA,NA,3,NA,Ativa
