index,id_leggo,id_autor,nome,partido,uf,bancada,nome_eleitoral,node_size
82,5,74171,Chico Alencar,PSOL,RJ,oposição,Chico Alencar (PSOL/RJ),2875
83,5,74265,Dimas Ramalho,PPS,,governo,Dimas Ramalho (PPS/NA),116.66666666666664
84,5,74269,Enéas,PR,,governo,Enéas (PR/NA),116.66666666666666
85,6,141422,Efraim Filho,DEM,,governo,Efraim Filho (DEM/NA),350
86,6,141431,Fernando Coelho Filho,DEM,PE,governo,Fernando Coelho Filho (DEM/PE),466.66666666666663
87,6,141503,Jô Moraes,PCdoB,MG,governo,Jô Moraes (PCdoB/MG),120
88,6,141515,Otavio Leite,PSDB,RJ,governo,Otavio Leite (PSDB/RJ),142.85714285714283
89,6,151208,Laercio Oliveira,PP,SE,governo,Laercio Oliveira (PP/SE),142.85714285714283
90,6,160426,Rogério Rosso,PSD,DF,governo,Rogério Rosso (PSD/DF),1168.8095238095239
91,6,160543,Andre Moura,PSC,,governo,Andre Moura (PSC/NA),233.33333333333331
92,6,160613,Sibá Machado,PT,AC,oposição,Sibá Machado (PT/AC),120
93,6,160630,Ságuas Moraes,PT,MT,oposição,Ságuas Moraes (PT/MT),905
94,6,164360,Carmen Zanotto,CIDADANIA,SC,governo,Carmen Zanotto (CIDADANIA/SC),462.38095238095235
95,6,167493,Weverton Rocha,PDT,MA,oposição,Weverton Rocha (PDT/MA),988.3333333333333
96,6,178879,Lucas Vergilio,SOLIDARIEDADE,GO,governo,Lucas Vergilio (SOLIDARIEDADE/GO),383.3333333333333
97,6,4931,Izalci Lucas,PSDB,DF,governo,Izalci Lucas (PSDB/DF),1133.3333333333333
98,6,4931,Izalci,PSDB,DF,governo,Izalci (PSDB/DF),1133.3333333333333
99,6,73434,Arnaldo Faria De Sá,PP,SP,governo,Arnaldo Faria De Sá (PP/SP),625
100,6,73441,Celso Russomanno,PRB,SP,governo,Celso Russomanno (PRB/SP),1064.8484848484848
101,6,73466,Rubens Bueno,CIDADANIA,PR,governo,Rubens Bueno (CIDADANIA/PR),1111.904761904762
102,6,73568,Celso Jacob,MDB,RJ,governo,Celso Jacob (MDB/RJ),225
103,6,73666,Jovair Arantes,PTB,GO,governo,Jovair Arantes (PTB/GO),1573.8095238095236
104,6,74050,Maurício Quintella Lessa,PR,AL,governo,Maurício Quintella Lessa (PR/AL),242.85714285714283
105,6,74095,Pauderney Avelino,DEM,,governo,Pauderney Avelino (DEM/NA),1266.6666666666665
106,6,74210,Sarney Filho,PV,MA,governo,Sarney Filho (PV/MA),1035
107,6,74399,Onyx Lorenzoni,DEM,,governo,Onyx Lorenzoni (DEM/NA),425
108,6,74428,Mendonça Filho,DEM,PE,governo,Mendonça Filho (DEM/PE),142.85714285714286
109,6,74750,Newton Cardoso,PMDB,MG,governo,Newton Cardoso (PMDB/MG),199.99999999999997
110,6,74848,Jandira Feghali,PCdoB,RJ,governo,Jandira Feghali (PCdoB/RJ),1508.0128205128206
111,6,97707,Heráclito Fortes,DEM,PI,governo,Heráclito Fortes (DEM/PI),1300
112,7,73531,Ivan Valente,PSOL,SP,oposição,Ivan Valente (PSOL/SP),7764.615384615384
113,9,73531,Ivan Valente,PSOL,SP,oposição,Ivan Valente (PSOL/SP),7764.615384615384
114,10,141484,Lúcio Vale,PR,,governo,Lúcio Vale (PR/NA),650
115,10,141488,Paulo Teixeira,PT,SP,oposição,Paulo Teixeira (PT/SP),8410.126038481834
116,10,141536,Rômulo Gouveia,"",PB,governo,Rômulo Gouveia (/PB),650
117,10,160666,Félix Mendonça Júnior,PDT,BA,oposição,Félix Mendonça Júnior (PDT/BA),650
118,10,178829,Capitão Augusto,PL,SP,governo,Capitão Augusto (PL/SP),1007.1428571428571
119,10,178960,Remídio Monai,PR,RR,governo,Remídio Monai (PR/RR),650
120,10,73531,Ivan Valente,PSOL,SP,oposição,Ivan Valente (PSOL/SP),7764.615384615384
121,10,74371,Rubens Otoni,PT,GO,oposição,Rubens Otoni (PT/GO),4414.6958001068515
122,12,134812,Edmilson Rodrigues,PSOL,PA,oposição,Edmilson Rodrigues (PSOL/PA),6446.666666666667
123,12,152605,Glauber Braga,PSOL,RJ,oposição,Glauber Braga (PSOL/RJ),1660
124,12,160530,Antonio Imbassahy,PSDB,BA,governo,Antonio Imbassahy (PSDB/BA),473.33333333333337
125,12,160601,Pr. Marco Feliciano,PODE,SP,governo,Pr. Marco Feliciano (PODE/SP),131.81818181818184
126,12,160640,Eros Biondini,PROS,MG,governo,Eros Biondini (PROS/MG),213.33333333333334
127,12,178828,Evandro Gussi,PV,SP,governo,Evandro Gussi (PV/SP),213.33333333333334
128,12,178836,Alan Rick,DEM,AC,governo,Alan Rick (DEM/AC),345.1515151515151
129,12,178945,Rosangela Gomes,PRB,RJ,governo,Rosangela Gomes (PRB/RJ),340
130,12,178947,Sóstenes Cavalcante,DEM,RJ,governo,Sóstenes Cavalcante (DEM/RJ),131.8181818181818
131,12,193726,Paulo Eduardo Martins,PSC,PR,governo,Paulo Eduardo Martins (PSC/PR),131.8181818181818
132,12,204369,Caroline De Toni,PSL,SC,governo,Caroline De Toni (PSL/SC),131.8181818181818
133,12,204374,Bia Kicis,PSL,DF,governo,Bia Kicis (PSL/DF),131.8181818181818
134,12,204376,Coronel Armando,PSL,SC,governo,Coronel Armando (PSL/SC),131.81818181818184
135,12,204400,Aline Sleutjes,PSL,PR,governo,Aline Sleutjes (PSL/PR),131.81818181818184
136,12,204407,Fernanda Melchionna,PSOL,RS,oposição,Fernanda Melchionna (PSOL/RS),2653.333333333333
137,12,204411,Filipe Barros,PSL,PR,governo,Filipe Barros (PSL/PR),131.81818181818184
138,12,204420,Julian Lemos,PSL,PB,governo,Julian Lemos (PSL/PB),131.81818181818184
139,12,204442,Gurgel,PSL,RJ,governo,Gurgel (PSL/RJ),247.27272727272725
140,12,204449,Nelson Barbudo,PSL,MT,governo,Nelson Barbudo (PSL/MT),131.8181818181818
141,12,204460,Carlos Jordy,PSL,RJ,governo,Carlos Jordy (PSL/RJ),131.8181818181818
142,12,204462,Chris Tonietto,PSL,RJ,governo,Chris Tonietto (PSL/RJ),131.8181818181818
143,12,204464,Talíria Petrone,PSOL,RJ,oposição,Talíria Petrone (PSOL/RJ),2127.1428571428573
144,12,204507,Carla Zambelli,PSL,SP,governo,Carla Zambelli (PSL/SP),260.6060606060606
145,12,204509,Áurea Carolina,PSOL,MG,oposição,Áurea Carolina (PSOL/MG),1480
146,12,204516,Alexis Fonteyne,NOVO,SP,governo,Alexis Fonteyne (NOVO/SP),472.72727272727275
147,12,204526,Luiz Philippe De Orleans e Bragança,PSL,SP,governo,Luiz Philippe De Orleans e Bragança (PSL/SP),236.36363636363637
148,12,204526,Luiz Philippe de Orleans e Bragança,PSL,SP,governo,Luiz Philippe de Orleans e Bragança (PSL/SP),236.36363636363637
149,12,204535,Sâmia Bomfim,PSOL,SP,oposição,Sâmia Bomfim (PSOL/SP),12613.333333333332
150,12,204536,Kim Kataguiri,DEM,SP,governo,Kim Kataguiri (DEM/SP),177.27272727272728
151,12,204545,Alê Silva,PSL,MG,governo,Alê Silva (PSL/MG),131.8181818181818
152,12,204546,Joice Hasselmann,PSL,SP,governo,Joice Hasselmann (PSL/SP),131.8181818181818
153,12,204547,Léo Motta,PSL,MG,governo,Léo Motta (PSL/MG),131.8181818181818
154,12,4931,Izalci Lucas,PSDB,DF,governo,Izalci Lucas (PSDB/DF),1133.3333333333333
155,12,4931,Izalci,PSDB,DF,governo,Izalci (PSDB/DF),1133.3333333333333
156,12,73441,Celso Russomanno,PRB,SP,governo,Celso Russomanno (PRB/SP),1064.8484848484848
157,12,73531,Ivan Valente,PSOL,SP,oposição,Ivan Valente (PSOL/SP),7764.615384615384
158,12,73584,Antonio Carlos Mendes Thame,PV,SP,governo,Antonio Carlos Mendes Thame (PV/SP),516.6666666666666
159,12,73778,Luiz Carlos Hauly,PSDB,PR,governo,Luiz Carlos Hauly (PSDB/PR),213.33333333333334
160,12,74057,Alice Portugal,PCdoB,BA,governo,Alice Portugal (PCdoB/BA),787.5
161,12,74254,Leonardo Picciani,MDB,RJ,governo,Leonardo Picciani (MDB/RJ),853.8095238095239
162,12,74366,João Campos,PRB,GO,governo,João Campos (PRB/GO),706.6666666666666
163,12,74558,Givaldo Carimbão,AVANTE,AL,governo,Givaldo Carimbão (AVANTE/AL),213.33333333333337
164,12,74650,Bonifácio De Andrada,DEM,MG,governo,Bonifácio De Andrada (DEM/MG),213.33333333333334
165,12,74784,Luiza Erundina,PSOL,SP,oposição,Luiza Erundina (PSOL/SP),4726.666666666666
166,12,92776,Stefano Aguiar,PSD,MG,governo,Stefano Aguiar (PSD/MG),213.33333333333334
