id_ext,codigo_emenda,data_apresentacao,numero,local,autor,casa,tipo_documento,inteiro_teor
2119881,2125058,2017-03-09,47,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532286
2119881,2125060,2017-03-09,48,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532288
2119881,2125061,2017-03-09,49,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532291
2119881,2125062,2017-03-09,50,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532293
2119881,2125063,2017-03-09,51,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532277
2119881,2125064,2017-03-09,52,PEC28716,Carlos Zarattini - PT/SP,camara,EMC,NA
2119881,2125066,2017-03-09,53,PEC28716,Major Olimpio - SD/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532280
2119881,2125067,2017-03-09,54,PEC28716,Major Olimpio - SD/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532282
2119881,2125069,2017-03-09,55,PEC28716,Major Olimpio - SD/SP,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1532283
2119881,2125075,2017-03-10,56,PEC28716,Hugo Leal - PSB/RJ,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533199
2119881,2125077,2017-03-10,57,PEC28716,Jerônimo Goergen - PP/RS,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533202
2119881,2125149,2017-03-13,58,PEC28716,Arnaldo Faria de Sá - PTB/SP,camara,EMC,NA
2119881,2125155,2017-03-13,59,PEC28716,Silas Câmara - PRB/AM,camara,EMC,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1533211
