id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_nome,id_leggo
2254725,PL,1542,"Altera a Lei nº 13.979, de 6 de fevereiro de 2020, que “dispõe sobre as medidas para enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus responsável pelo surto de 2019”, para vedar reajustes de preços de medicamentos e de contraprestações pecuniárias de planos privados de assistência à saúde pelos prazos que especifica. ",2020-06-05T18:13:00Z,camara,NA,,NA,NA,Prioridade,Plenário,Relator não encontrado,526
141436,PL,1542,"Dispõe sobre a suspensão, pelo prazo que menciona, do ajuste anual dos preços de medicamentos e dos planos e seguros privados de assistência à saúde.",2020-04-06T00:00:00Z,senado,senado,Eduardo Braga MDB / AM,NA,NA,Ordinária,Plenário,Confúcio Moura,526
2254715,PL,3154,"Altera a Lei 13.979 de 6 de fevereiro de 2020, que dispõe sobre as medidas de enfrentamento da emergencia de saúde pública de importância internacional decorrente do coronavírus responsável pelo surto de 2019, para determinar que o Ministério da Saúde inclua nos dados públicos informações relativas a cor e a raça das pessoas suspeitas de contaminação, contaminadas, hospitalizadas e falecidas em decorrencia da covid-19. ",2020-06-05T14:26:00Z,camara,camara,Áurea Carolina+David Miranda+Edmilson Rodrigues+Fernanda Melchionna+Glauber Braga+Ivan Valente+Luiza Erundina+Marcelo Freixo+Sâmia Bomfim,MG+RJ+PA+RS+RJ+SP+SP+RJ+SP,PSOL+PSOL+PSOL+PSOL+PSOL+PSOL+PSOL+PSOL+PSOL,Urgência,Plenário,Relator não encontrado,527
2254703,PL,3151,"Altera o Decreto Lei n° 2.848, de 7 de dezembro de 1940 – Código Penal, para enquadrar como crime contra a saúde pública o ato de falsificar, corromper, adulterar ou alterar, com objetivos comerciais ou não, testes diagnósticos de doenças. ",2020-06-05T11:20:00Z,camara,camara,Eduardo Bismarck,CE,PDT,Urgência,Plenário,Relator não encontrado,528
2254808,PL,3197,"Altera a Lei nº 13.979, de 6 de fevereiro de 2020, para tornar obrigatória a divulgação diária dos dados que especifica referentes à emergência de saúde pública de importância internacional decorrente da covid-19. ",2020-06-09T10:29:00Z,camara,camara,Áurea Carolina+David Miranda+Edmilson Rodrigues+Fernanda Melchionna+Glauber Braga+Ivan Valente+Joenia Wapichana+Luiza Erundina+Marcelo Freixo+Sâmia Bomfim,MG+RJ+PA+RS+RJ+SP+RR+SP+RJ+SP,PSOL+PSOL+PSOL+PSOL+PSOL+PSOL+REDE+PSOL+PSOL+PSOL,Urgência,Plenário,Relator não encontrado,529
2254756,PL,3171,Dispõe sobre a divulgação e inclusão do Painel de Informações da Covid-19 do número acumulado de mortes e de casos confirmados da doença pelo Poder Legislativo. ,2020-06-08T13:14:00Z,camara,camara,Cássio Andrade,PA,PSB,Urgência,Plenário,Relator não encontrado,530
2254493,PL,3117,"Confere nova redação ao inciso II do artigo 13 da lei 9.656, de 03 de junho de 1998, para dispor sobre o aumento do prazo de vedação à suspensão ou rescisão unilateral dos contratos por parte das pessoas jurídicas de direito privado que operem planos de assistência à saúde, e dá outras providências. ",2020-06-03T19:53:00Z,camara,camara,Jéssica Sales,AC,MDB,Prioridade,Conclusiva,Relator não encontrado,531
2254732,PL,3163,"Dispõe sobre a obrigatoriedade de divulgação tempestiva de boletim epidemiológico diário sobre a doença Covid-19 no Brasil, nos termos que especifica ",2020-06-08T09:00:00Z,camara,camara,André Figueiredo,CE,PDT,Urgência,Plenário,Relator não encontrado,532
2253967,PL,2960,"Institui o Programa de Aluguel Social Emergencial para as mulheres de baixa renda vítimas de violência doméstica ou familiar, com vigência restrita à duração do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, ou da emergência de saúde pública de importância nacional decorrente do novo coronavírus (Sars-CoV-2), o que for maior, e dá outras providências. ",2020-05-28T13:29:00Z,camara,camara,Denis Bezerra+Lídice da Mata,CE+BA,PSB+PSB,Urgência,Plenário,Relator não encontrado,533
2254726,PL,3157,"Altera a Lei nº 13.340, de 28 de setembro de 2016, para dispor sobre a anistia de parcelas de dívidas repactuadas de crédito rural da agricultura familiar com vencimento no ano de 2020. ",2020-06-05T18:07:00Z,camara,camara,Júnior Mano,CE,PL,Urgência,Plenário,Relator não encontrado,534
2253689,PL,2887,"Dispõe sobre pacote de medidas emergenciais ao pequeno e médio produtor rural e empreendedor familiar rural, durante o estado de calamidade pública no Brasil. ",2020-05-26T10:25:00Z,camara,camara,Gildenemyr,MA,PL,Urgência,Plenário,Relator não encontrado,535
2253793,PL,2923,"Altera a Lei nº 13.982, de 2 de abril de 2020, e dá providências. ",2020-05-26T18:28:00Z,camara,camara,Alessandro Molon+Aliel Machado+Bira do Pindaré+Camilo Capiberibe+Danilo Cabral+Denis Bezerra+Emidinho Madeira+Heitor Schuch+Lídice da Mata+Mauro Nazif+Rafael Motta+Rosana Valle+Ted Conti+Vilson da Fetaemg,RJ+PR+MA+AP+PE+CE+MG+RS+BA+RO+RN+SP+ES+MG,PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB+PSB,Urgência,Plenário,Relator não encontrado,536
2254432,PL,3102,"Institui linha de crédito emergencial destinada ao refinanciamento de operações de custeio agropecuário e de investimento contratadas até 31 de dezembro de 2019, no âmbito do Programa Nacional de Fortalecimento da Agricultura Familiar (Pronaf) e do Programa Nacional de Apoio ao Médio Produtor Rural (Pronamp). ",2020-06-03T14:14:00Z,camara,camara,Jerônimo Goergen,RS,PP,Urgência,Plenário,Relator não encontrado,537
2253607,PL,2853,Institui linha emergencial de crédito no âmbito do Programa Nacional de Fortalecimento da Agricultura Familiar (Pronaf). ,2020-05-25T11:06:00Z,camara,camara,Afonso Florence+Airton Faleiro+Alencar Santana Braga+Alexandre Padilha+Arlindo Chinaglia+Beto Faro+Carlos Veras+Célio Moura+Enio Verri+Erika Kokay+Frei Anastacio Ribeiro+Gleisi Hoffmann+Heitor Schuch+João Daniel+Jorge Solla+José Airton Félix Cirilo+José Guimarães+José Ricardo+Joseildo Ramos+Leonardo Monteiro+Luizianne Lins+Marcon+Margarida Salomão+Maria do Rosário+Marília Arraes+Natália Bonavides+Nilto Tatto+Padre João+Patrus Ananias+Paulo Pimenta+Paulo Teixeira+Pedro Uczai+Professora Rosa Neide+Reginaldo Lopes+Rejane Dias+Rogério Correia+Rubens Otoni+Valmir Assunção+Vander Loubet+Vicentinho+Vilson da Fetaemg+Waldenor Pereira+Zé Carlos+Zé Neto,BA+PA+SP+SP+SP+PA+PE+TO+PR+DF+PB+PR+RS+SE+BA+CE+CE+AM+BA+MG+CE+RS+MG+RS+PE+RN+SP+MG+MG+RS+SP+SC+MT+MG+PI+MG+GO+BA+MS+SP+MG+BA+MA+BA,PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PSB+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PT+PSB+PT+PT+PT,Urgência,Plenário,Relator não encontrado,538
