id_leggo,id_autor,nome,partido,uf,bancada,casa_autor,nome_eleitoral,node_size,id_autor_parlametria
79,204420,Dep. Julian Lemos,PSL,PB,governo,camara,Dep. Julian Lemos (PSL/PB),1,1204420
79,204421,Dep. Edna Henrique,PSDB,PB,governo,camara,Dep. Edna Henrique (PSDB/PB),1,1204421
79,204441,Dep. Otoni De Paula,PSC,RJ,governo,camara,Dep. Otoni De Paula (PSC/RJ),1,1204441
79,204442,Dep. Gurgel,PSL,RJ,governo,camara,Dep. Gurgel (PSL/RJ),1,1204442
79,204451,Dep. Delegado Antônio Furtado,PSL,RJ,governo,camara,Dep. Delegado Antônio Furtado (PSL/RJ),1,1204451
79,204456,Dep. Gutemberg Reis,MDB,RJ,governo,camara,Dep. Gutemberg Reis (MDB/RJ),1.5,1204456
79,204472,Dep. José Medeiros,PODE,MT,governo,camara,Dep. José Medeiros (PODE/MT),1,1204472
79,204511,Dep. David Soares,DEM,SP,governo,camara,Dep. David Soares (DEM/SP),1,1204511
79,204512,Dep. Delegado Marcelo Freitas,PSL,MG,governo,camara,Dep. Delegado Marcelo Freitas (PSL/MG),2,1204512
79,204520,Dep. Cabo Junio Amaral,PSL,MG,governo,camara,Dep. Cabo Junio Amaral (PSL/MG),1,1204520
79,204529,Dep. Policial Katia Sastre,PL,SP,governo,camara,Dep. Policial Katia Sastre (PL/SP),1,1204529
79,204531,Dep. Guilherme Derrite,PP,,governo,camara,Dep. Guilherme Derrite (PP/-),1,1204531
79,204547,Dep. Léo Motta,PSL,MG,governo,camara,Dep. Léo Motta (PSL/MG),1,1204547
79,204548,Dep. Heitor Freire,PSL,CE,governo,camara,Dep. Heitor Freire (PSL/CE),2,1204548
79,204550,Dep. Júnior Mano,PL,CE,governo,camara,Dep. Júnior Mano (PL/CE),1,1204550
79,204576,Dep. João Roma,PRB,BA,governo,camara,Dep. João Roma (PRB/BA),1,1204576
79,205863,Dep. Marcelo Brum,PSL,RS,governo,camara,Dep. Marcelo Brum (PSL/RS),2,1205863
79,73486,Dep. Pompeo De Mattos,PDT,RS,oposição,camara,Dep. Pompeo De Mattos (PDT/RS),2,173486
79,74044,Dep. Wilson Santiago,PTB,PB,governo,camara,Dep. Wilson Santiago (PTB/PB),1,174044
79,74305,Dep. Roberto Pessoa,PSDB,CE,governo,camara,Dep. Roberto Pessoa (PSDB/CE),1,174305
79,74399,Dep. Onyx Lorenzoni,DEM,,governo,camara,Dep. Onyx Lorenzoni (DEM/-),1,174399
79,74419,Dep. Gonzaga Patriota,PSB,PE,oposição,camara,Dep. Gonzaga Patriota (PSB/PE),1,174419
79,74585,Dep. Lincoln Portela,PL,MG,governo,camara,Dep. Lincoln Portela (PL/MG),1,174585
79,76874,Dep. Marcelo Freixo,PSOL,RJ,oposição,camara,Dep. Marcelo Freixo (PSOL/RJ),1,176874
83,160655,Dep. Ricardo Izar,PP,SP,governo,camara,Dep. Ricardo Izar (PP/SP),1,1160655
85,178986,Dep. Nilto Tatto,PT,SP,oposição,camara,Dep. Nilto Tatto (PT/SP),3,1178986
85,204386,Dep. Jose Mario Schreiner,DEM,GO,governo,camara,Dep. Jose Mario Schreiner (DEM/GO),1,1204386
90,160575,Dep. Erika Kokay,PT,DF,oposição,camara,Dep. Erika Kokay (PT/DF),1,1160575
90,160619,Dep. José Nunes,PSD,BA,governo,camara,Dep. José Nunes (PSD/BA),1,1160619
90,171619,Dep. Margarida Salomão,PT,MG,oposição,camara,Dep. Margarida Salomão (PT/MG),2,1171619
90,204537,Dep. Enrico Misasi,PV,SP,governo,camara,Dep. Enrico Misasi (PV/SP),1,1204537
90,74398,Dep. Maria Do Rosário,PT,RS,oposição,camara,Dep. Maria Do Rosário (PT/RS),1,174398
94,204536,Dep. Kim Kataguiri,DEM,SP,governo,camara,Dep. Kim Kataguiri (DEM/SP),1,1204536
94,204576,Dep. João Roma,PRB,BA,governo,camara,Dep. João Roma (PRB/BA),2,1204576
96,204425,Dep. Silvio Costa Filho,PRB,PE,governo,camara,Dep. Silvio Costa Filho (PRB/PE),1,1204425
96,204523,Dep. Lucas Gonzalez,NOVO,MG,governo,camara,Dep. Lucas Gonzalez (NOVO/MG),1,1204523
97,4770,Sen. Izalci Lucas,PSDB,DF,governo,senado,Sen. Izalci Lucas (PSDB/DF),1,24770
97,5899,Sen. Vanderlan Cardoso,PP,GO,governo,senado,Sen. Vanderlan Cardoso (PP/GO),1,25899
97,5979,Sen. Leila Barros,PSB,DF,oposição,senado,Sen. Leila Barros (PSB/DF),6,25979
99,160511,Dep. Alessandro Molon,PSB,RJ,oposição,camara,Dep. Alessandro Molon (PSB/RJ),1,1160511
99,160598,Dep. Flávia Morais,PDT,GO,oposição,camara,Dep. Flávia Morais (PDT/GO),1,1160598
99,160653,Dep. Roberto De Lucena,PODE,SP,governo,camara,Dep. Roberto De Lucena (PODE/SP),1,1160653
99,178881,Dep. Aluisio Mendes,PODE,MA,governo,camara,Dep. Aluisio Mendes (PODE/MA),1,1178881
99,178915,Dep. Betinho Gomes,PSDB,PE,governo,camara,Dep. Betinho Gomes (PSDB/PE),2,1178915
99,204377,Dep. Paula Belmonte,CIDADANIA,DF,governo,camara,Dep. Paula Belmonte (CIDADANIA/DF),1,1204377
99,204526,Dep. Luiz Philippe De Orleans E Bragança,PSL,SP,governo,camara,Dep. Luiz Philippe De Orleans E Bragança (PSL/SP),2,1204526
99,204536,Dep. Kim Kataguiri,DEM,SP,governo,camara,Dep. Kim Kataguiri (DEM/SP),1,1204536
99,88950,Dep. Rodrigo Garcia,DEM,,governo,camara,Dep. Rodrigo Garcia (DEM/-),2,188950
100,107283,Dep. Gleisi Hoffmann,PT,PR,oposição,camara,Dep. Gleisi Hoffmann (PT/PR),23.726190476190474,1107283
100,108338,Dep. Jaqueline Cassol,PP,RO,governo,camara,Dep. Jaqueline Cassol (PP/RO),1,1108338
100,116379,Dep. Darci De Matos,PSD,SC,governo,camara,Dep. Darci De Matos (PSD/SC),2,1116379
100,122158,Dep. Pedro Paulo,DEM,RJ,governo,camara,Dep. Pedro Paulo (DEM/RJ),2,1122158
100,133439,Dep. André Figueiredo,PDT,CE,oposição,camara,Dep. André Figueiredo (PDT/CE),9.5,1133439
100,133968,Dep. Paulo Ramos,PDT,RJ,oposição,camara,Dep. Paulo Ramos (PDT/RJ),6.4,1133968
100,134812,Dep. Edmilson Rodrigues,PSOL,PA,oposição,camara,Dep. Edmilson Rodrigues (PSOL/PA),3.6000000000000005,1134812
100,136811,Dep. Afonso Hamm,PP,RS,governo,camara,Dep. Afonso Hamm (PP/RS),1,1136811
100,141405,Dep. Celso Maldaner,MDB,SC,governo,camara,Dep. Celso Maldaner (MDB/SC),0.5,1141405
100,141408,Dep. Cleber Verde,PRB,MA,governo,camara,Dep. Cleber Verde (PRB/MA),4,1141408
100,141411,Dep. Dagoberto Nogueira,PDT,MS,oposição,camara,Dep. Dagoberto Nogueira (PDT/MS),4,1141411
100,141421,Dep. Eduardo Da Fonte,PP,PE,governo,camara,Dep. Eduardo Da Fonte (PP/PE),2,1141421
100,141427,Dep. Fábio Ramalho,MDB,MG,governo,camara,Dep. Fábio Ramalho (MDB/MG),2,1141427
100,141439,Dep. Chico D'angelo,PDT,RJ,oposição,camara,Dep. Chico D'angelo (PDT/RJ),1,1141439
100,141450,Dep. Hugo Leal,PSD,RJ,governo,camara,Dep. Hugo Leal (PSD/RJ),1,1141450
100,141470,Dep. José Guimarães,PT,CE,oposição,camara,Dep. José Guimarães (PT/CE),23.726190476190474,1141470
100,141488,Dep. Paulo Teixeira,PT,SP,oposição,camara,Dep. Paulo Teixeira (PT/SP),23.226190476190474,1141488
100,141513,Dep. Bilac Pinto,DEM,MG,governo,camara,Dep. Bilac Pinto (DEM/MG),1,1141513
100,141516,Dep. Paulo Abi-ackel,PSDB,MG,governo,camara,Dep. Paulo Abi-ackel (PSDB/MG),1,1141516
100,141518,Dep. Paulo Pereira Da Silva,SOLIDARIEDADE,SP,governo,camara,Dep. Paulo Pereira Da Silva (SOLIDARIEDADE/SP),2.5,1141518
100,141552,Dep. Valtenir Pereira,MDB,MT,governo,camara,Dep. Valtenir Pereira (MDB/MT),5,1141552
100,141555,Dep. Vinicius Carvalho,PRB,SP,governo,camara,Dep. Vinicius Carvalho (PRB/SP),3.5,1141555
100,143084,Dep. Tiago Dimas,SOLIDARIEDADE,TO,governo,camara,Dep. Tiago Dimas (SOLIDARIEDADE/TO),2,1143084
100,143632,Dep. Domingos Neto,PSD,CE,governo,camara,Dep. Domingos Neto (PSD/CE),2,1143632
100,146788,Dep. Marcelo Aro,PP,MG,governo,camara,Dep. Marcelo Aro (PP/MG),2,1146788
